,subject,story,timeTest,serialPos,origText,recalled,posRec,recText,Observations,Unnamed: 9
102,9,1,3,21,The bear gave it a swat and it flew to the shore and flopped there,0,,,,
103,9,1,3,22,"Then another fish jumped into the air after the flies, followed swiftly by another",0,,,,
104,9,1,3,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",0,,,,
105,9,1,3,24,Soon it had a large pile,0,,,,
106,9,1,3,25,The old man had caught nothing,0,,,,
107,9,1,3,26,He watched that bear eat half a dozen trout,0,,,,
108,9,1,3,27,his stomach rumbling,0,,,,
109,9,1,3,28,All he had for dinner was some bread and what was left of the molasses,0,,,,
110,9,1,3,29,Finally the bear paused in his eating,0,,,,
111,9,1,3,30,and looked over to the bushes where the old man was hidden,0,,,,
112,9,1,3,31,The bear stood up and laid the remaining fish in a row,0,,,,
113,9,1,3,32,Then it walked away up the shore,0,,,,
114,9,1,3,33,The old man crept out of the bushes and down to the shore,0,,,,
115,9,1,3,34,"Sure enough, the bear had left six large trout for him",0,,,,
116,9,1,3,35,He looked over at the bear,0,,,,
117,9,1,3,36,It was standing at the edge of the wood watching,0,,,,
118,9,1,3,37,"""Thanks a lot,"" the old man called to the bear",0,,,,
119,9,1,3,38,The bear waved the now-clean paw at the old man,0,,,,
120,9,1,3,39,and disappeared into the thicket,0,,,,
121,9,1,3,40,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",0,,,,
122,9,1,3,41,The old man never hunted bears again,0,,,,
123,9,2,1,1,I was shopping at my local supermarket,1,1,I was shopping in my local supermarket a few weeks ago,,
124,9,2,1,2,as I normally have for years.,0,,,,
125,9,2,1,3,"One particular day, I had done about 2 weeks’ worth of shopping",1,2,I had collected about two weeks’ worth of groceries ,changed 2 to two,
126,9,2,1,4,and was headed toward the register to pay for my groceries.,1,3,when I headed to the register to check out,,
127,9,2,1,5,I reached into my back right pocket,1,4,I reached for my back right pocket ,,
128,9,2,1,6,to grab the money to pay,1,5,to collect my money,,
129,9,2,1,7,and noticed that there was no money in there.,1,6,only to realize it was not there,,
130,9,2,1,8,I started to get nervous.,0,,,,
131,9,2,1,9,I knew my pocket book was in the car ,1,7,I knew my pocketbook was in the car ,,
132,9,2,1,10,and I was sure I had put the money in my back right pocket.,1,8,I had brought the money in carrying it in this back-right pocket,,
133,9,2,1,11,"I look at cashier with a confused look,",0,,,,
134,9,2,1,12,not knowing what to do.,1,9,I did not know what to do,,
135,9,2,1,13,There were people behind me on the line ,1,10,There were people waiting behind me in line ,,
136,9,2,1,14,and I immediately thought about the money I left in the car,1,14,I thought sadly of the money sitting in my car,,
137,9,2,1,15,that was intended to pay rent this month.,1,15,reserved for this month’s rent,,
138,9,2,1,16,She told me to speak with the courtesy counter.,1,11,The cashier told me to ask the customer service desk to see if anyone had turned it in,,
139,9,2,1,17,"I laughed and said,",0,,,,
140,9,2,1,18,"""But it was cash, no one would hand that in!""  ",1,12,"“No one will have turned it in—it was cash,” ",,
141,9,2,1,19,I decided that there was no harm in checking ,1,13,"I decided to go to the customer support desk, though, just in case",,
142,9,2,1,20,so I walked up to a woman behind the counter ,0,,,,
143,9,2,1,21,"and said ""I have to ask, did anyone turn in cash by any chance?""",1,16, “Has anyone found any money?” I asked the representative. ,,
144,9,2,1,22,"She asked ""How much?""  ",1,17,“How much?” she answered,,
145,9,2,1,23,My face then lit up.,0,,,,
146,9,2,1,24,"""$200 ",1,18,200,,
147,9,2,1,25,"in the form of twenty dollar bills."" I replied.",1,19,in twenty dollar bills,changed 20 to twenty,
148,9,2,1,26,"She said, ""Actually, yes, someone did!""  ",0,,,Miscounted in orig data excluded here,
149,9,2,1,27,I was so surprised! ,0,,,,
150,9,2,1,28,"""Who? I want to thank them.""  ",0,,,,
151,9,2,1,29,She points to a young girl ,1,20;22,pointed out the;girl,,
152,9,2,1,30,about 10 years old ,1,21,ten-year-old ,changed 10 to ten,
153,9,2,1,31,"and says, ""She did."" ",0,,,,
154,9,2,1,32,I walked over to the mom,1,23;25,I ran over; her mother,,
155,9,2,1,33,and hugged her.,1,24,and hugged ,,
156,9,2,1,34,"She said, ""It wasn't me, it was my daughter"". ",1,26,"“Don’t thank me,” she said, pointing to her daughter, “it was all her.” ",,
157,9,2,1,35,"I was so happy, ",0,,,,
158,9,2,1,36,I was almost in tears. ,0,,,,
159,9,2,1,37,I decided in those moments to do my duty ,1,27,"From that moment forward, ",,
160,9,2,1,38,to pay forward this act of kindness ,1,28,I vowed to pass on this act of kind,,
161,9,2,1,39,every opportunity I had.,0,,,,
162,9,2,2,1,I was shopping at my local supermarket,1,1,I was shopping in my local supermarket ,,
163,9,2,2,2,as I normally have for years.,1,2,as I had done for years. ,,
164,9,2,2,3,"One particular day, I had done about 2 weeks’ worth of shopping",1,3,"One particular day, I had gotten about two weeks’ worth of groceries ",,changed 2 to two
165,9,2,2,4,and was headed toward the register to pay for my groceries.,1,4,headed to the register to pay,,
166,9,2,2,5,I reached into my back right pocket,0,,,,
167,9,2,2,6,to grab the money to pay,1,5,to get my money,,
168,9,2,2,7,and noticed that there was no money in there.,1,6,only to discover it was not there,,
169,9,2,2,8,I started to get nervous.,1,7,I began to get nervous ,,
170,9,2,2,9,I knew my pocket book was in the car ,1,9,I knew I had left my pocketbook in my car ,,
171,9,2,2,10,and I was sure I had put the money in my back right pocket.,1,10,brought the money in using my back left pocket. ,,
172,9,2,2,11,"I look at cashier with a confused look,",1,8,gave a confused look to the cashier,,
173,9,2,2,12,not knowing what to do.,0,,,,
174,9,2,2,13,There were people behind me on the line ,1,11,Looking at the people behind me in line,,
175,9,2,2,14,and I immediately thought about the money I left in the car,1,12,I thought of the money sitting in my car ,,
176,9,2,2,15,that was intended to pay rent this month.,1,13,intended for this month’s rent. ,,
177,9,2,2,16,She told me to speak with the courtesy counter.,1,14,The cashier recommended I check the courtesy counter to see if anyone had turned in the money. ,,
178,9,2,2,17,"I laughed and said,",1,15,I laughed and said,,
179,9,2,2,18,"""But it was cash, no one would hand that in!""  ",1,16,“But it was cash! Who would turn that in?” ,,
180,9,2,2,19,I decided that there was no harm in checking ,1,17,"Nevertheless, I decided it could not hurt to check",,
181,9,2,2,20,so I walked up to a woman behind the counter ,1,18,"I approached the counter and spoke to the woman working it, ",,
182,9,2,2,21,"and said ""I have to ask, did anyone turn in cash by any chance?""",1,19,"“I have to ask, did anyone turn in any money today?” ",,
183,9,2,2,22,"She asked ""How much?""  ",1,20,"She replied, “How much?” ",,
184,9,2,2,23,My face then lit up.,1,21,"My face lit up, ",,
185,9,2,2,24,"""$200 ",1,22,200,,
186,9,2,2,25,"in the form of twenty dollar bills."" I replied.",1,23,in twenty dollar bills,,
187,9,2,2,26,"She said, ""Actually, yes, someone did!""  ",1,24,"Actually, someone did!” she replied",,
188,9,2,2,27,I was so surprised! ,0,,,,
189,9,2,2,28,"""Who? I want to thank them.""  ",1,25,"“Who turned this in?” I asked, “I have to thank them.” ",,
190,9,2,2,29,She points to a young girl ,1,27,pointing to a nearby woman and her daughter,,
191,9,2,2,30,about 10 years old ,0,,,,
192,9,2,2,31,"and says, ""She did."" ",1,26,"She did,” the woman replied",,
193,9,2,2,32,I walked over to the mom,0,,,,
194,9,2,2,33,and hugged her.,0,,,,
195,9,2,2,34,"She said, ""It wasn't me, it was my daughter"". ",0,,,,
196,9,2,2,35,"I was so happy, ",0,,,,
197,9,2,2,36,I was almost in tears. ,0,,,,
198,9,2,2,37,I decided in those moments to do my duty ,0,,,,
199,9,2,2,38,to pay forward this act of kindness ,0,,,,
200,9,2,2,39,every opportunity I had.,0,,,,
201,9,2,3,1,I was shopping at my local supermarket,0,,,,
202,9,2,3,2,as I normally have for years.,0,,,,
203,9,2,3,3,"One particular day, I had done about 2 weeks’ worth of shopping",1,1,"had the next two weeks worth of groceries in my shopping cart, ",,
204,9,2,3,4,and was headed toward the register to pay for my groceries.,1,2,"when I decided to check out. As a approached the clerk, ",,
205,9,2,3,5,I reached into my back right pocket,0,,,,
206,9,2,3,6,to grab the money to pay,1,3,where my money was,,
207,9,2,3,7,and noticed that there was no money in there.,1,4,only to discover it was not there,,
208,9,2,3,8,I started to get nervous.,0,,,,
209,9,2,3,9,I knew my pocket book was in the car ,1,5,"I knew I had brought it in, because I left my pocketbook in my car. ",,
210,9,2,3,10,and I was sure I had put the money in my back right pocket.,0,,,,
211,9,2,3,11,"I look at cashier with a confused look,",0,,,,
212,9,2,3,12,not knowing what to do.,1,7,trying to figure out what to do,,
213,9,2,3,13,There were people behind me on the line ,1,6,"I looked at the other people in line behind me, ",,
214,9,2,3,14,and I immediately thought about the money I left in the car,1,8,"thinking about the rest of the money in my car, ",,
215,9,2,3,15,that was intended to pay rent this month.,1,9,just enough for this month’s rent,,
216,9,2,3,16,She told me to speak with the courtesy counter.,1,10,The checkout clerk suggested I go to the customer support desk to see if anyone had turned any money in,,
217,9,2,3,17,"I laughed and said,",0,,,,
218,9,2,3,18,"""But it was cash, no one would hand that in!""  ",1,11,“It was cash! Who would turn that in?” ,,
219,9,2,3,19,I decided that there was no harm in checking ,1,12,"Nevertheless, I decided it couldn’t hurt to investigate",,
220,9,2,3,20,so I walked up to a woman behind the counter ,0,,,,
221,9,2,3,21,"and said ""I have to ask, did anyone turn in cash by any chance?""",1,13,"“Excuse me. Nobody’s turned any money in today, have they?” ",,
222,9,2,3,22,"She asked ""How much?""  ",1,14,How much?” ,,
223,9,2,3,23,My face then lit up.,0,,,,
224,9,2,3,24,"""$200 ",0,,,,
225,9,2,3,25,"in the form of twenty dollar bills."" I replied.",0,,,,
226,9,2,3,26,"She said, ""Actually, yes, someone did!""  ",0,,,,
227,9,2,3,27,I was so surprised! ,0,,,,
228,9,2,3,28,"""Who? I want to thank them.""  ",1,15,“Who did this? I must know so I can thank them!” ,,
229,9,2,3,29,She points to a young girl ,1,16,The service clerk motioned to a woman and her daughter,,
230,9,2,3,30,about 10 years old ,0,,,,
231,9,2,3,31,"and says, ""She did."" ",1,17,“She found it and turned it in.” ,,
232,9,2,3,32,I walked over to the mom,1,18,"I rushed toward them, thanking the mother",,
233,9,2,3,33,and hugged her.,0,,,,
234,9,2,3,34,"She said, ""It wasn't me, it was my daughter"". ",0,,,,
235,9,2,3,35,"I was so happy, ",0,,,,
236,9,2,3,36,I was almost in tears. ,0,,,,
237,9,2,3,37,I decided in those moments to do my duty ,0,,,,
238,9,2,3,38,to pay forward this act of kindness ,0,,,,
239,9,2,3,39,every opportunity I had.,0,,,,
240,9,3,1,1,Larry Walters had a dream that he could fly.  ,1,1,Larry Walters wanted to fly,,
241,9,3,1,2,"The problem was that Larry's vision was poor, ",1,2,"The problem was, his vision was poor",,
242,9,3,1,3,and he was thus ill-suited to become a pilot. ,1,3,thus he was ill-suited to become a pilot,,
243,9,3,1,4,"Most people, faced with similar limitations, might let go of such a dream.",1,4,Most people with a similar set of limitations would let go of such a dream,,
244,9,3,1,5,Larry Walters was not most people. ,1,5,Larry Walters was not most people. ,,
245,9,3,1,6,On a sunny summer day ,0,,,,
246,9,3,1,7,"in 1982, ",1,6,In June 1982,,
247,9,3,1,8,in his modest backyard ,0,,,,
248,9,3,1,9,"in San Pedro, ",0,,,,
249,9,3,1,10,Larry boarded a makeshift aircraft ,0,,,,
250,9,3,1,11,"comprising a lawn chair, ",1,7,to his lawn-chair,,
251,9,3,1,12,"a seat belt, ",0,,,,
252,9,3,1,13,and forty-odd weather balloons. ,0,,,,
253,9,3,1,14,"Armed with a pellet gun, ",0,,,,
254,9,3,1,15,"a CB radio, ",0,,,,
255,9,3,1,16,"and a cooler full of sandwiches, ",0,,,,
256,9,3,1,17,he released the line that tethered his craft ,1,8,the plan was to release the chair from ,,
257,9,3,1,18,"to his Jeep, ",1,9,to his jeep,,
258,9,3,1,19,"rose to a height of thirty feet or so, ",1,10,"go about thirty feet in the air, ",changed 30 to thirty,
259,9,3,1,20,and had himself a little picnic. ,1,11,have himself a nice afternoon picnic,,
260,9,3,1,21,"He planned to just shoot out a couple balloons and float gently back to earth, ",1,12,getting back down through shooting a couple of the balloons with his gun,,
261,9,3,1,22,just as easy as could be.,0,,,,
262,9,3,1,23,"But Larry, it would seem, was not so good with physics. ",1,13,"However, Larry Walters was not particularly good at physics either",,
263,9,3,1,24,"When he released the tether, his craft rose ",1,14,When he released his chair,,
264,9,3,1,25,"15,000 feet in the air. ",0,,,,
265,9,3,1,26,"According to some reports, ",0,,,,
266,9,3,1,27,"he didn't dare shoot out the balloons, ",1,16,"if he shot a balloon, Larry decided to simply wait it out",,
267,9,3,1,28,for fear the chair would tip. ,1,15,Afraid of tipping the chair ,,
268,9,3,1,29,"Eventually, he drifted into the approach corridor of Long Beach airport, ",0,,,,
269,9,3,1,30,disrupting air traffic. ,0,,,,
270,9,3,1,31,Imagine for a moment what that must have looked like to the folks waiting for clearance to land: ,1,17,Imagine the surprise of those at the airport to see ,,
271,9,3,1,32,"a man in a lawn chair with a gun, ",1,18,a man floating in a lawn chair with a shotgun ,changed lawnchair to lawn chair,
272,9,3,1,33,some three miles above the ground. ,0,,,,
273,9,3,1,34,"He did finally touch down safely, ",0,,,,
274,9,3,1,35,though not before getting tangled in some power lines ,0,,,,
275,9,3,1,36,and knocking out power in the entire Long Beach area. ,0,,,,
276,9,3,1,37,"It goes without saying that Larry, upon touchdown, was arrested. ",0,,,,
277,9,3,1,38,Seems the FAA took umbrage with his violation of restricted airspace.,0,,,,
278,9,3,1,39,"But by the time they nabbed him, the story had spread, ",0,,,,
279,9,3,1,40,and a few crack reporters witnessed his arrest. ,0,,,,
280,9,3,1,41,One of those reporters asked why he'd done it. ,0,,,,
281,9,3,1,42,Larry's response? ,0,,,,
282,9,3,1,43,"""A man can't just sit around.""",0,,,,
283,9,3,2,1,Larry Walters had a dream that he could fly.  ,1,1,Larry Walters had a dream that he could fly,,
284,9,3,2,2,"The problem was that Larry's vision was poor, ",1,2,"The problem was, his vision was bad",,
285,9,3,2,3,and he was thus ill-suited to become a pilot. ,1,3,and he was thus ill-suited to become a pilot. ,,
286,9,3,2,4,"Most people, faced with similar limitations, might let go of such a dream.",1,4,"Most people, faced with similar  limitations, would let go of such a dream. ",,
287,9,3,2,5,Larry Walters was not most people. ,1,5,Larry Walters was not most people,,
288,9,3,2,6,On a sunny summer day ,1,6,On a sunny summer day ,,
289,9,3,2,7,"in 1982, ",1,7,in 1982,,
290,9,3,2,8,in his modest backyard ,0,,,,
291,9,3,2,9,"in San Pedro, ",0,,,,
292,9,3,2,10,Larry boarded a makeshift aircraft ,1,8,"Larry boarded his makeshift aircraft, ",,
293,9,3,2,11,"comprising a lawn chair, ",1,9,composed of a lawnchair,,
294,9,3,2,12,"a seat belt, ",1,10,a seatbelt,,
295,9,3,2,13,and forty-odd weather balloons. ,1,11,and some forty-odd weather balloons,changed 40 to forty,
296,9,3,2,14,"Armed with a pellet gun, ",1,13,a pellet gun,,
297,9,3,2,15,"a CB radio, ",1,12,He took with him a weather radio,,
298,9,3,2,16,"and a cooler full of sandwiches, ",1,14,a cooler full of sandwiches. ,,
299,9,3,2,17,he released the line that tethered his craft ,1,15,Upon releasing the chair from its tether ,,
300,9,3,2,18,"to his Jeep, ",1,16,to his jeep,,
301,9,3,2,19,"rose to a height of thirty feet or so, ",1,17,Larry rose thirty feet in the air,changed 30 to thirty,
302,9,3,2,20,and had himself a little picnic. ,1,18,had a midday picnic,,
303,9,3,2,21,"He planned to just shoot out a couple balloons and float gently back to earth, ",1,19,The plan was to shoot out a couple of the balloons and float gently back to earth,,
304,9,3,2,22,just as easy as could be.,0,,,,
305,9,3,2,23,"But Larry, it would seem, was not so good with physics. ",1,20,"However, it seemed Larry Walters was not particularly good at physics",,
306,9,3,2,24,"When he released the tether, his craft rose ",0,,,,
307,9,3,2,25,"15,000 feet in the air. ",1,21,"He instead rose 15,000 feet in the air. ",,
308,9,3,2,26,"According to some reports, ",0,,,,
309,9,3,2,27,"he didn't dare shoot out the balloons, ",1,22,he was afraid to shoot out the balloons ,,
310,9,3,2,28,for fear the chair would tip. ,1,23,"for fear it would tip the chair, ",,
311,9,3,2,29,"Eventually, he drifted into the approach corridor of Long Beach airport, ",0,,,,
312,9,3,2,30,disrupting air traffic. ,0,,,,
313,9,3,2,31,Imagine for a moment what that must have looked like to the folks waiting for clearance to land: ,1,24,"Imagine how bizarre it must have been to be waiting for your approach, only to see",,
314,9,3,2,32,"a man in a lawn chair with a gun, ",1,25,a man in a lawnchair holding a gun floating ,changed lawnchair to lawn chair,
315,9,3,2,33,some three miles above the ground. ,1,26,three miles above the ground,,
316,9,3,2,34,"He did finally touch down safely, ",0,,,,
317,9,3,2,35,though not before getting tangled in some power lines ,0,,,,
318,9,3,2,36,and knocking out power in the entire Long Beach area. ,0,,,,
319,9,3,2,37,"It goes without saying that Larry, upon touchdown, was arrested. ",0,,,,
320,9,3,2,38,Seems the FAA took umbrage with his violation of restricted airspace.,0,,,,
321,9,3,2,39,"But by the time they nabbed him, the story had spread, ",0,,,,
322,9,3,2,40,and a few crack reporters witnessed his arrest. ,0,,,,
323,9,3,2,41,One of those reporters asked why he'd done it. ,0,,,,
324,9,3,2,42,Larry's response? ,0,,,,
325,9,3,2,43,"""A man can't just sit around.""",0,,,,
326,9,3,3,1,Larry Walters had a dream that he could fly.  ,0,,,,
327,9,3,3,2,"The problem was that Larry's vision was poor, ",1,1,"However, poor vision ",,
328,9,3,3,3,and he was thus ill-suited to become a pilot. ,1,2,made being a pilot infeasible,,
329,9,3,3,4,"Most people, faced with similar limitations, might let go of such a dream.",1,3,"A less determined man than he would have given up on this dream, ",,
330,9,3,3,5,Larry Walters was not most people. ,0,,,,
331,9,3,3,6,On a sunny summer day ,1,4,On a lazy summer day ,,
332,9,3,3,7,"in 1982, ",0,,,,
333,9,3,3,8,in his modest backyard ,0,,,,
334,9,3,3,9,"in San Pedro, ",0,,,,
335,9,3,3,10,Larry boarded a makeshift aircraft ,1,5,he boarded his makeshift craft,,
336,9,3,3,11,"comprising a lawn chair, ",1,11,"attached to his lawn-chair, ",,
337,9,3,3,12,"a seat belt, ",0,,,,
338,9,3,3,13,and forty-odd weather balloons. ,1,10,With about thirty-odd weather balloons ,,
339,9,3,3,14,"Armed with a pellet gun, ",1,6;8, armed with;a BB-gun,,
340,9,3,3,15,"a CB radio, ",1,7,a weather radio,,
341,9,3,3,16,"and a cooler full of sandwiches, ",1,9,and a cooler full of sandwiches,,
342,9,3,3,17,he released the line that tethered his craft ,0,,,,
343,9,3,3,18,"to his Jeep, ",0,,,,
344,9,3,3,19,"rose to a height of thirty feet or so, ",0,,,,
345,9,3,3,20,and had himself a little picnic. ,1,12,for a midday picnic,,
346,9,3,3,21,"He planned to just shoot out a couple balloons and float gently back to earth, ",1,13,before shooting a few of the balloons to glide back down to earth,,
347,9,3,3,22,just as easy as could be.,0,,,,
348,9,3,3,23,"But Larry, it would seem, was not so good with physics. ",1,14,"However, he had never been very good at physics",,
349,9,3,3,24,"When he released the tether, his craft rose ",1,15,Upon letting go of the rope tying the craft to earth,,
350,9,3,3,25,"15,000 feet in the air. ",1,16,"he rose 15,000 feet in the air",,
351,9,3,3,26,"According to some reports, ",0,,,,
352,9,3,3,27,"he didn't dare shoot out the balloons, ",1,18,"if he shot the balloons, he sat frozen in his chair, drifting with the wind",,
353,9,3,3,28,for fear the chair would tip. ,1,17,Worried the chair would flip ,,
